Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),TeamCode,OriginalTable
RB,Rhamondre Stevenson,25.0,2.0,12.0,"156 rushes for 619 yards, 4 td, & 38 catches for 238 yards and 0 td",,2023_ROSTER.HTM,Table_1
WR,Kendrick Bourne,28.0,6.0,5.0,"37 catches for 406 yards, 4 td, & 1 rush for 4 yards and 0 td",,2023_ROSTER.HTM,Table_1
WR,DeVante Parker,30.0,8.0,13.0,"33 catches for 394 yards, 0 td",,2023_ROSTER.HTM,Table_1
TE,Pharaoh Brown,29.0,6.0,11.0,"13 catches for 208 yards, 1 td",,2023_ROSTER.HTM,Table_1
TE,Mike Gesicki,28.0,5.0,10.0,"29 catches for 244 yards, 2 td",,2023_ROSTER.HTM,Table_1
LT,Trent Brown,30.0,8.0,8.0,,,2023_ROSTER.HTM,Table_1
LG,Cole Strange,25.0,1.0,10.0,1 fumble recovered,,2023_ROSTER.HTM,Table_1
C,David Andrews,31.0,8.0,17.0,1 fumble recovered,,2023_ROSTER.HTM,Table_1
RT,Michael Onwenu,26.0,3.0,15.0,,,2023_ROSTER.HTM,Table_1
,Defensive Starters,,,,,,2023_ROSTER.HTM,Table_1
LDE,Deatrich Wise Jr.,29.0,6.0,13.0,"4.5 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
NT,Davon Godchaux,29.0,6.0,17.0,"0.0 sacks, 0 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
RDE,Lawrence Guy,33.0,11.0,12.0,,,2023_ROSTER.HTM,Table_1
LILB,Ja'Whaun Bentley,27.0,5.0,16.0,"4.5 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RILB,Jahlani Tavai,27.0,4.0,16.0,"1.0 sacks, 2 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
ROLB,Anfernee Jennings,26.0,3.0,14.0,"1.5 sacks, 0 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
LCB,Jonathan Jones,30.0,7.0,14.0,,,2023_ROSTER.HTM,Table_1
RCB,J.C. Jackson,28.0,5.0,6.0,,,2023_ROSTER.HTM,Table_1
SS,Jabrill Peppers,28.0,6.0,15.0,"1.0 sacks, 2 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
FS,Kyle Dugger,27.0,3.0,17.0,"1.5 sacks, 2 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
DB,Jalen Mills,29.0,7.0,8.0,,,2023_ROSTER.HTM,Table_1
,Offensive Starters,,,,,,2023_ROSTER.HTM,Table_1
QB,Jared Goff,29.0,7,17.0,"407 for 605, 4,575 yards, 30 td, 12 int, & 32 rushes for 21 yards and 2 td",,2023_ROSTER.HTM,Table_1
RB,Jahmyr Gibbs*,21.0,Rook,3.0,"182 rushes for 945 yards, 10 td, & 52 catches for 316 yards and 1 td",,2023_ROSTER.HTM,Table_1
RB,David Montgomery,26.0,4,14.0,"219 rushes for 1,015 yards, 13 td, & 16 catches for 117 yards and 0 td",,2023_ROSTER.HTM,Table_1
WR,Josh Reynolds,28.0,6,13.0,"40 catches for 608 yards, 5 td",,2023_ROSTER.HTM,Table_1
WR,Amon-Ra St. Brown*+,24.0,2,16.0,"119 catches for 1,515 yards, 10 td, & 4 rushes for 24 yards and 0 td",,2023_ROSTER.HTM,Table_1
WR,Jameson Williams,22.0,1,10.0,"24 catches for 354 yards, 2 td, & 3 rushes for 29 yards and 1 td",,2023_ROSTER.HTM,Table_1
TE,Sam LaPorta*,22.0,Rook,14.0,"86 catches for 889 yards, 10 td, & 1 rush for 4 yards and 0 td",,2023_ROSTER.HTM,Table_1
LT,Taylor Decker,29.0,7,15.0,,,2023_ROSTER.HTM,Table_1
LG,Jonah Jackson,26.0,3,12.0,,,2023_ROSTER.HTM,Table_1
C,Frank Ragnow*,27.0,5,15.0,,,2023_ROSTER.HTM,Table_1
RG,Graham Glasgow,31.0,7,15.0,,,2023_ROSTER.HTM,Table_1
RT,Penei Sewell*+,23.0,2,17.0,1 fumble recovered,,2023_ROSTER.HTM,Table_1
,Defensive Starters,,,,,,2023_ROSTER.HTM,Table_1
LDE,John Cominsky,28.0,4,11.0,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
LDT,Alim McNeill,23.0,2,13.0,"5.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RDT,Benito Jones,26.0,3,15.0,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RDE,Aidan Hutchinson*,23.0,1,17.0,"11.5 sacks, 1 interception, 2 fumbles recovered",,2023_ROSTER.HTM,Table_1
LLB,Jack Campbell,23.0,Rook,12.0,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
MLB,Derrick Barnes,24.0,2,13.0,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RLB,Alex Anzalone,29.0,6,16.0,"3.0 sacks, 0 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
LCB,Cameron Sutton,28.0,6,17.0,"0.0 sacks, 1 interception, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RCB,Jerry Jacobs,26.0,2,12.0,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
SS,Tracy Walker,28.0,5,6.0,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
FS,Kerby Joseph,23.0,1,15.0,"0.0 sacks, 4 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
,Offensive Starters,,,,,,2023_ROSTER.HTM,Table_1
QB,Daniel Jones,26.0,4,6.0,"108 for 160, 909 yards, 2 td, 6 int, & 40 rushes for 206 yards and 1 td",,2023_ROSTER.HTM,Table_1
RB,Saquon Barkley,26.0,5,14.0,"247 rushes for 962 yards, 6 td, & 41 catches for 280 yards and 4 td",,2023_ROSTER.HTM,Table_1
WR,Jalin Hyatt,22.0,Rook,7.0,"23 catches for 373 yards, 0 td",,2023_ROSTER.HTM,Table_1
WR,Wan'Dale Robinson,22.0,1,8.0,"60 catches for 525 yards, 1 td, & 9 rushes for 87 yards and 1 td",,2023_ROSTER.HTM,Table_1
WR,Darius Slayton,26.0,4,13.0,"50 catches for 770 yards, 4 td",,2023_ROSTER.HTM,Table_1
TE,Daniel Bellinger,23.0,1,13.0,"25 catches for 255 yards, 0 td",,2023_ROSTER.HTM,Table_1
TE,Darren Waller,31.0,8,11.0,"52 catches for 552 yards, 1 td",,2023_ROSTER.HTM,Table_1
LT,Andrew Thomas,24.0,3,10.0,,,2023_ROSTER.HTM,Table_1
LG,Justin Pugh,33.0,10,12.0,,,2023_ROSTER.HTM,Table_1
C,John Michael Schmitz,24.0,Rook,13.0,1 fumble recovered,,2023_ROSTER.HTM,Table_1
RG,Ben Bredeson,25.0,3,16.0,,,2023_ROSTER.HTM,Table_1
RT,Tyre Phillips,26.0,3,9.0,,,2023_ROSTER.HTM,Table_1
,Defensive Starters,,,,,,2023_ROSTER.HTM,Table_1
LDE,Dexter Lawrence*,26.0,4,16.0,"4.5 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
NT,Leonard Williams,29.0,8,7.0,"1.5 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RDE,A'Shawn Robinson,28.0,7,13.0,,,2023_ROSTER.HTM,Table_1
LOLB,Jihad Ward,29.0,7,9.0,"5.0 sacks, 0 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
LILB,Bobby Okereke,27.0,4,17.0,"2.5 sacks, 2 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RILB,Micah McFadden,23.0,1,14.0,"1.0 sacks, 1 interception, 4 fumbles recovered",,2023_ROSTER.HTM,Table_1
ROLB,Kayvon Thibodeaux,23.0,1,17.0,"11.5 sacks, 0 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
LCB,Adoree' Jackson,28.0,6,14.0,"0.0 sacks, 1 interception, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RCB,Deonte Banks,22.0,Rook,15.0,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
SS,Jason Pinnock,24.0,2,16.0,"2.0 sacks, 2 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
FS,Xavier McKinney,25.0,3,17.0,"0.5 sacks, 3 interceptions, 2 fumbles recovered",,2023_ROSTER.HTM,Table_1
,Offensive Starters,,,,,,2023_ROSTER.HTM,Table_1
QB,Desmond Ridder,24.0,1,13.0,"249 for 388, 2,836 yards, 12 td, 12 int, & 53 rushes for 193 yards and 5 td",,2023_ROSTER.HTM,Table_1
RB,Tyler Allgeier,23.0,1,3.0,"186 rushes for 683 yards, 4 td, & 18 catches for 193 yards and 1 td",,2023_ROSTER.HTM,Table_1
RB,Bijan Robinson,21.0,Rook,16.0,"214 rushes for 976 yards, 4 td, & 58 catches for 487 yards and 4 td",,2023_ROSTER.HTM,Table_1
WR,Drake London,22.0,1,16.0,"69 catches for 905 yards, 2 td",,2023_ROSTER.HTM,Table_1
TE,Kyle Pitts,23.0,2,15.0,"53 catches for 667 yards, 3 td, & 1 rush for -4 yards and 0 td",,2023_ROSTER.HTM,Table_1
TE,Jonnu Smith,28.0,6,6.0,"50 catches for 582 yards, 3 td, & 1 rush for yards and 0 td",,2023_ROSTER.HTM,Table_1
LT,Jake Matthews,31.0,9,17.0,,,2023_ROSTER.HTM,Table_1
LG,Matthew Bergeron,23.0,Rook,17.0,,,2023_ROSTER.HTM,Table_1
C,Drew Dalman,25.0,2,14.0,,,2023_ROSTER.HTM,Table_1
RT,Kaleb McGary,28.0,4,14.0,,,2023_ROSTER.HTM,Table_1
,Defensive Starters,,,,,,2023_ROSTER.HTM,Table_1
LDE,Bud Dupree,30.0,8,16.0,"6.5 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
LDT,Grady Jarrett,30.0,8,8.0,"1.5 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RDT,David Onyemata,31.0,7,14.0,"4.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RDE,Calais Campbell,37.0,15,17.0,"6.5 sacks, 0 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
LLB,Kaden Elliss,28.0,4,17.0,"4.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
MLB,Nathan Landman,25.0,1,14.0,"2.0 sacks, 1 interception, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
