Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Date,Unnamed: 2_level_0_G#,Unnamed: 3_level_0_Week,Unnamed: 4_level_0_Age,Unnamed: 5_level_0_Tm,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Opp,Unnamed: 8_level_0_Result,Unnamed: 9_level_0_GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,PlayerCode,OriginalTable,Scoring_TD,Scoring_Pts,Scoring_2PM,Unnamed: 39_level_0_Status,Unnamed: 31_level_0_Status,Unnamed: 37_level_0_Status,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Unnamed: 47_level_0_Status,Unnamed: 34_level_0_Status,Unnamed: 27_level_0_Status,Unnamed: 46_level_0_Status,Unnamed: 40_level_0_Status
4.0,2023-10-01,4.0,4.0,24.21,CHI,,DEN,L 28-31,*,28,35,80.00,335,4,1,132.7,4,35,9.57,10.57,4,25,6.25,0,1,1,0,0,0,0,72,100%,0,0%,0,0%,FIELJU00,Table_1,0,0,,,,,,,,,,,,,,,,
5.0,2023-10-05,5.0,5.0,24.214,CHI,@,WAS,W 40-20,*,15,29,51.72,282,4,0,125.3,3,9,9.72,12.48,11,57,5.18,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,FIELJU00,Table_1,0,0,,,,,,,,,,,,,,,,
6.0,2023-10-15,6.0,6.0,24.224,CHI,,MIN,L 13-19,*,6,10,60.00,58,0,1,36.7,4,18,5.80,1.30,8,46,5.75,0,0,0,0,0,0,0,35,53%,0,0%,0,0%,FIELJU00,Table_1,0,0,,,,,,,,,,,,,,,,
7.0,2023-10-22,7.0,7.0,,CHI,,LVR,W 30-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,FIELJU00,Table_1,Inactive,Inactive,,Inactive,,,,,,,,,,,,,,
8.0,2023-10-29,8.0,8.0,,CHI,@,LAC,L 13-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,FIELJU00,Table_1,Inactive,Inactive,,Inactive,,,,,,,,,,,,,,
9.0,2023-11-05,9.0,9.0,,CHI,@,NOR,L 17-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,FIELJU00,Table_1,Inactive,Inactive,,Inactive,,,,,,,,,,,,,,
10.0,2023-11-09,10.0,10.0,,CHI,,CAR,W 16-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,FIELJU00,Table_1,Inactive,Inactive,,Inactive,,,,,,,,,,,,,,
11.0,2023-11-19,11.0,11.0,24.259,CHI,@,DET,L 26-31,*,16,23,69.57,169,1,0,105.2,2,18,7.35,8.22,18,104,5.78,0,1,0,0,0,0,0,75,100%,0,0%,0,0%,FIELJU00,Table_1,0,0,,,,,,,,,,,,,,,,
12.0,2023-11-27,12.0,12.0,24.267,CHI,@,MIN,W 12-10,*,27,37,72.97,217,0,0,87.3,3,18,5.86,5.86,12,59,4.92,0,2,2,0,0,0,0,70,100%,0,0%,0,0%,FIELJU00,Table_1,0,0,,,,,,,,,,,,,,,,
13.0,2023-12-10,13.0,14.0,24.28,CHI,,DET,W 28-13,*,19,33,57.58,223,1,0,88.3,3,29,6.76,7.36,12,58,4.83,1,0,0,0,0,0,0,71,100%,0,0%,0,0%,FIELJU00,Table_1,1,6,,,,,,,,,,,,,,,,
14.0,2023-12-17,14.0,15.0,24.287,CHI,@,CLE,L 17-20,*,19,40,47.50,166,1,2,46.5,3,18,4.15,2.40,7,30,4.29,0,2,0,0,0,0,0,73,100%,0,0%,0,0%,FIELJU00,Table_1,0,0,,,,,,,,,,,,,,,,
15.0,2023-12-24,15.0,16.0,24.294,CHI,,ARI,W 27-16,*,15,27,55.56,170,1,1,71.5,1,0,6.30,5.37,9,97,10.78,1,0,0,0,0,0,0,70,100%,0,0%,0,0%,FIELJU00,Table_1,1,6,,,,,,,,,,,,,,,,
16.0,2023-12-31,16.0,17.0,24.301,CHI,,ATL,W 37-17,*,20,32,62.50,268,1,0,99.5,3,28,8.38,9.00,11,45,4.09,1,1,0,0,0,0,0,74,100%,0,0%,0,0%,FIELJU00,Table_1,1,6,,,,,,,,,,,,,,,,
17.0,2024-01-07,17.0,18.0,24.308,CHI,@,GNB,L 9-17,*,11,16,68.75,148,0,0,97.9,5,31,9.25,9.25,8,27,3.38,0,0,0,0,0,0,0,47,98%,0,0%,0,0%,FIELJU00,Table_1,0,0,,,,,,,,,,,,,,,,
,13 Games,,,,,,,5-8-0,,227,370,61.35,2562,16,9,86.3,44,285,6.92,6.69,124,657,5.30,4,10,4,0,1,-8,0,,,,,,,FIELJU00,Table_1,4,24,,,,,,,,,,,,,,,,
1.0,2023-09-10,1.0,1.0,28.227,ARI,@,WAS,L 16-20,*,21,30,70.00,132,0,0,78.7,3,18,4.40,4.40,3,-3,-1.00,0,3,2,0,1,0,0,62,100%,0,0%,0,0%,DOBBJO00,Table_1,0,0,,,,,,,,,,,,,,,,
2.0,2023-09-17,2.0,2.0,28.234,ARI,,NYG,L 28-31,*,21,31,67.74,228,1,0,99.9,0,0,7.35,8.00,3,41,13.67,1,0,0,0,0,0,0,65,100%,0,0%,0,0%,DOBBJO00,Table_1,1,8,1,,,,,,,,,,,,,,,
3.0,2023-09-24,3.0,3.0,28.241,ARI,,DAL,W 28-16,*,17,21,80.95,189,1,0,120.0,2,11,9.00,9.95,6,55,9.17,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,DOBBJO00,Table_1,0,0,,,,,,,,,,,,,,,,
